names,ipc-rating-star--rating
groundzero-273-397110,6.0
stevenjlowe82,8.0
ambusched94,3.0
blrnani,6.0
skmenon1993,7.0
mochteam,5.0
troy-daniel-bush,6.0
Raja79,1.0
donttouchmeprimate,8.0
HafizhMaulana21,8.0
mmuggi,5.0
parksiet,8.0
nitro72,7.0
CabbageCustard,4.0
fredschaefer-406-623204,9.0
ITALUKE,7.0
kelly-gaudreau,10.0
ObsessiveCinemaDisorder,6.0
DiptanshuG,9.0
wisdomwasp,2.0
bignuts-06245,8.0
vibhus-17780,7.0
Motion-Picture-Watchmen,
Mar-77,2.0
The_Swedish_Reviewer,1.0
phoenixinvictus,4.0
jrneptune,7.0
bobetjo,4.0
mrpicky,9.0
nkishudak,6.0
TheNamelessCzar,6.0
akira-hideyo,10.0
infinitetyler,5.0
justinwfirestone,8.0
Dello_,6.0
andrew-hill515,5.0
mailtaskservice,8.0
deacon_blues-88632,5.0
malcolmjohnston,9.0
AnimatedCritic,6.0
saikatsamanta,6.0
dorMancyx,8.0
Stream2BigScreen_Movie_Reviews,8.0
seanhmoss6,4.0
Solnichka,8.0
lovemichaeljordan,7.0
WorldMovie99,5.0
royhectorkabanlit,10.0
Harlekwin_UK,8.0
JCinHB,5.0
Silicone54,2.0
lhbaker-28783,7.0
Web_Of_Doom,2.0
mitchell5954,4.0
HotDoggyBoomBooM,6.0
mindlessmoviemaster,1.0
graves-scott,1.0
tonosov-51238,5.0
007Waffles,3.0
bradykitchen-33648,7.0
kuner-59029,4.0
michael-561-692892,5.0
Entertainmentsparadise,7.0
saimariejohnson,10.0
rohanumpleby,6.0
imxhill,8.0
Shilo_R_A,7.0
chrislawuk,8.0
Polotovar,7.0
Eric266,7.0
jseph1234-262-617488,5.0
Genti26,7.0
pasaribuharisfadli,7.0
rudygerst,2.0
Pnkprinses309,4.0
plargreg,1.0
trey-yancy-572-763547,6.0
quiqueperezsoler,7.0
cgtam,2.0
WooderIce64,8.0
evansjoshyr,10.0
heidibokor,7.0
averagedeveloper,3.0
hotrobinproductions,6.0
samog-98289,6.0
mr_sharma,5.0
hfreinoso,9.0
glumski,7.0
afura-78800,9.0
abalpn-99472,10.0
TheGreatGreenBadger,9.0
jimmyishere-37748,7.0
cc0077,8.0
miaalike,3.0
seveb-25179,4.0
tranat71,7.0
neutredlum,7.0
feyipuk,4.0
