ipc-rating-star--rating,names
7.0,Benjamin-M-Weilert
8.0,lojitsu
6.0,aboalhyjaa
8.0,bankofmarquis
8.0,kjproulx
7.0,ThurstonHunger
5.0,statuskuo
7.0,jace_the_film_guy
6.0,rehmankhilji
1.0,saru2020
8.0,KalKenobi83
4.0,Lythas_85
6.0,Slarkshark
8.0,MrDHWong
7.0,movieman6-413-929510
2.0,namob-43673
5.0,alexpeychev
6.0,Stanlee107
7.0,msbreviews
7.0,cardsrock
5.0,MJB784
1.0,roxmewild
5.0,ryanpersaud-59415
6.0,alindsayal
4.0,sbweightman
4.0,khanbaliq2
5.0,cliftonofun
4.0,MamadNobari97
8.0,trinaboice
7.0,AfricanBro
8.0,RussHog
8.0,kaefab
6.0,deepfrieddodo
9.0,abisio
6.0,grlym-46849
5.0,isaacochoterena
6.0,ThomasColquith
3.0,stevelivesey67
5.0,chunkylefunga
6.0,chera_khalid
6.0,CANpatbuck3664
4.0,PsychoBeard666
9.0,erminahotmail
9.0,BrunoRatesTheMovies
4.0,bheadher
5.0,Carycomic
8.0,griffithxjohnson
3.0,dk777
3.0,Mike_Devine
10.0,cs_rahul_prasad
7.0,sufyaanrashid95
8.0,BrnzReviews
4.0,ivanmessimilos
4.0,pranayjalvi
6.0,chris_rowe-881-168820
1.0,DoNotComeToTheCinemaDepressed
4.0,Movie_Rating_n_Ranking
5.0,jaysanchu07
7.0,avindugunasinghe
4.0,becky-92346
10.0,iamjamalwhite
3.0,EvanKevelson
5.0,Misss25
6.0,jakethesnake-42007
3.0,TheVictoriousV
8.0,DanLawson146
4.0,OnjiMooteDaMarle
9.0,bhernandez2216
4.0,martinrobertson300482
7.0,JonyVeana
5.0,cinemapersonified
2.0,willandcharlenebrown
6.0,auskooper
7.0,witra_as
7.0,fraser-simons
7.0,RightOnDaddio
5.0,nicorip22
10.0,colewaters
3.0,ragingbull_2005
8.0,ThereelscoopwithKK
8.0,H0kv5
5.0,eagandersongil
5.0,ib011f9545i
3.0,vjnambu
8.0,gavinp9
3.0,torrascotia
6.0,chiragrathod19
8.0,shaikhirshad-41223
8.0,nidhunmoviebuff
7.0,mrglenngrant
4.0,koltonbrett
9.0,malmevik77
9.0,Pukeonthestreet
3.0,MovieWarfare
6.0,theromanempire-1
7.0,Paragon240
6.0,coombsstephen
7.0,flicklover
7.0,xiaoli7377
5.0,benjaminskylerhill
6.0,owenpont-70803
8.0,joeyford-55342
10.0,Dr_Mark_ODoherty
8.0,ayoreinf
6.0,moviesknight
