ipc-rating-star--rating,names
10.0,calahao
8.0,SamuSixx
10.0,londonelim
6.0,SouthernViews
6.0,tdsearles25
9.0,psgorio
9.0,dakotadickenson-83457
10.0,awessel-58117
5.0,imaxxing
9.0,ebbewahlstrom
5.0,GalAlba
7.0,pavlomir
8.0,OniFR
9.0,saadurrehman70
8.0,TheWordYo
7.0,kellindil-759-448828
7.0,redban02
7.0,tylerkom
7.0,tmcmaster031405
10.0,illaymelamed
9.0,mrdanielkanewilliams
8.0,dmoorejr
8.0,thomasubieda
9.0,rowe-27464
7.0,Nixon_Carmichael
7.0,djburnham
4.0,movies_are_life_
5.0,ian1000
2.0,milescorn
6.0,tdsearles25
9.0,psgorio
9.0,dakotadickenson-83457
10.0,awessel-58117
5.0,imaxxing
9.0,ebbewahlstrom
5.0,GalAlba
7.0,pavlomir
8.0,OniFR
9.0,saadurrehman70
8.0,TheWordYo
7.0,kellindil-759-448828
7.0,redban02
7.0,tylerkom
7.0,tmcmaster031405
10.0,illaymelamed
9.0,mrdanielkanewilliams
8.0,dmoorejr
8.0,thomasubieda
9.0,rowe-27464
7.0,Nixon_Carmichael
7.0,djburnham
4.0,movies_are_life_
5.0,ian1000
2.0,milescorn
8.0,themovieraidshow
7.0,dcoke25
9.0,zwjonas
8.0,kevinparmar681
6.0,knoxfan2008
9.0,N-whymark
8.0,ARTaylor
2.0,OldMovieRob
7.0,jasoncrespo-56276
7.0,Junebug23057
8.0,Couziambatman
8.0,OnlyAtJMart
8.0,ajintvarghese1
2.0,snowfre
1.0,imdb-45
6.0,simianfriday
8.0,svanwelie-177-496844
3.0,systersister
7.0,athirn
9.0,jordiojoystar
10.0,tony-146-695626
9.0,Filmwalla
8.0,theffachrif
10.0,Dylpickle08
4.0,JoeyCeee
10.0,wgeddings
7.0,blmulholland-14261
5.0,him090296
10.0,vagtea-36082
6.0,danielgroza
6.0,pd-19490
1.0,cfischer9
6.0,laplante-co-672-297856
6.0,tim_d3
4.0,ryandannar
7.0,hiside-64664
9.0,Junreviews
7.0,perky-18854
2.0,jhmplopps
9.0,christopherstamp
6.0,alreadyseenbeentaken
10.0,elhamfirmino
8.0,Gabmoreno2
5.0,rotten-potatoes
5.0,xTkAx
9.0,craigwashington-30200
8.0,Geekofriendly
1.0,gimili3979
7.0,ruelshepperd
8.0,Atle_O
10.0,crisostomojoaquin
7.0,stephanie_wal-04572
5.0,ahmdemir-86645
10.0,mickeyadamo
8.0,kigaiyuuto
10.0,wolverinexfitxmma
7.0,zfgcjx
8.0,MiroslavKyuranov
9.0,hristokasabov
10.0,anonim-73883
9.0,guinden
4.0,Lefteris-Anagnostopoulos
10.0,mhtotalmoviefan
8.0,ryan-44110
4.0,blatherskitenoir
3.0,TheWatcher17
9.0,Aretheu
9.0,Mequias
5.0,jritty
10.0,jenaycarter
7.0,Padrion
10.0,Karamakate
8.0,JTReviewsPlus
5.0,javier_8
8.0,anchitbaishya2004
8.0,stevesinger-2001
7.0,TheFilmCasual
3.0,moviehigh81
5.0,fdsafdsafd
5.0,alensufli
10.0,grimreaperrr
8.0,ANastyGorilla
10.0,thecanadian-23317
10.0,wedfan-52803
5.0,kailomonkey
4.0,rubya
4.0,sjhollen
7.0,karlevans-75682
8.0,gawarof
8.0,jamesgreenwall
10.0,tooranim
3.0,cking1010-458-184844
10.0,marwinsingh-30063
,mg-231645
10.0,mandyrstrickland
4.0,wick27
7.0,jacksongaming-80094
7.0,alexbazelos
8.0,johnalagoz
9.0,isabellacatgirl
9.0,ericknromero
8.0,jesse-hitzroth
8.0,FinalSmash1689
8.0,Pranali_Patil
8.0,matris1
9.0,valmont1702
8.0,lovefalloutkindagamer
8.0,reeceagland
7.0,dtswpod
8.0,belacane
7.0,h79423
8.0,QAlpha007
9.0,sweensa
7.0,Dory_Darko
8.0,ccarriere-43044
2.0,paul_obe
6.0,kezman436
9.0,arvinjanasis
7.0,tiaskyelandish
10.0,jmigoya
5.0,tonymicki
