ipc-rating-star--rating,names
7.0,RussHog
8.0,kaefab
1.0,IWasKnownAsThe1SentenceReviewer
6.0,deepfrieddodo
2.0,januszlvii
7.0,lakings97
6.0,chera_khalid
5.0,bheadher
8.0,griffithxjohnson
6.0,Prichards12345
3.0,Mike_Devine
7.0,sufyaanrashid95
10.0,BrnzReviews
6.0,pranayjalvi
7.0,ossie85
8.0,DoNotComeToTheCinemaDepressed
6.0,Movie_Rating_n_Ranking
5.0,EdwardtheBlackPrince
2.0,stevelivesey-37183
6.0,brentsbulletinboard
2.0,therealjaysmoke
3.0,TheVictoriousV
8.0,bhernandez2216
4.0,martinrobertson300482
6.0,alekspredator87
8.0,auskooper
6.0,fraser-simons
9.0,darkreignn
6.0,GregTheStopSign95
2.0,ThereelscoopwithKK
7.0,H0kv5
7.0,PyroSikTh
7.0,SafReviews
8.0,cahidi
7.0,gavinp9
5.0,kgprophet
6.0,chiragrathod19
5.0,shaikhirshad-41223
9.0,mrglenngrant
4.0,koltonbrett
6.0,nightringer-76840
5.0,comps-784-38265
5.0,MovieWarfare
1.0,theromanempire-1
6.0,gettodamoofies
5.0,flicklover
6.0,xiaoli7377
6.0,benjaminskylerhill
7.0,owenpont-70803
3.0,thePopcornExplorer
7.0,waltermwilliams
5.0,KFstudios2009
1.0,mickeythechamp
8.0,GomezAddams666
10.0,gabethedinosaur
10.0,toonarly
4.0,Christopher_Reid
8.0,NestorTheGreat
3.0,darapjohnson
2.0,nscoby93
5.0,rdamian1963
2.0,Avwillfan89
1.0,Erik_Stone
4.0,Padreviews
7.0,ha77y73ad97
6.0,ryanmo-35178
6.0,johnnyhbtvs27
8.0,timeblank
4.0,jordyntsmith
,fluffset
8.0,gcsman
4.0,nakrugt
9.0,RahulM007
8.0,skip-98756
6.0,M0n0_bogdan
6.0,D4V1D2411
7.0,mr_bickle_the_pickle
6.0,exceladeogun
7.0,Chalice_Of_Evil
7.0,Ltufano23
7.0,garethwooduk
3.0,tindfoting
3.0,SHU_Movies
4.0,theredsky
5.0,SilverOrlov
7.0,jkb2012
9.0,Ahmedfadil00
7.0,groundzero-273-397110
8.0,skmenon1993
6.0,parksiet
4.0,tresm87
6.0,fredschaefer-406-623204
7.0,wisdomwasp
4.0,mattatthemovies
3.0,rohanumpleby-34057
5.0,vibhus-17780
5.0,MajBlade2
6.0,Rajit_thebingewatcher
9.0,18Buddha
2.0,ladyliliroche
3.0,info-90701
4.0,TheNamelessCzar
1.0,infinitetyler
1.0,quockquock
1.0,disnotbetty-10195
6.0,dorMancyx
4.0,tommy-97761
7.0,Stream2BigScreen_Movie_Reviews
8.0,Harlekwin_UK
5.0,JCinHB
2.0,Silicone54
6.0,lhbaker-28783
3.0,Web_Of_Doom
6.0,poseyfan
,ThatDoesntMatter
6.0,mjpiro
5.0,Entertainmentsparadise
5.0,trevorwomble
10.0,saimariejohnson
8.0,ubasarsahin
9.0,Phil_M_A_Kerr
7.0,Ansango
5.0,imxhill
1.0,meissotruey
5.0,noshouse
6.0,Eric266
8.0,intrepidami
8.0,mattlx
4.0,Smarmelade
4.0,WooderIce64
7.0,evansjoshyr
6.0,samog-98289
4.0,mesaxi
10.0,abalpn-99472
5.0,gangeshgnair
9.0,ceojonathanmontgomery
3.0,Wililjam
8.0,FilmFanatic2023
5.0,williamsonandcompany
4.0,harry-34518
6.0,seige-hound
