names,ipc-rating-star--rating
alexglimbergwindh,5.0
mob-96831,9.0
Fargomoviecritic,4.0
rallder19,5.0
No-Life-101,6.0
redkyng,2.0
HOLYDIVER575,9.0
mattclap28,6.0
willphelan,8.0
NavyOrion,4.0
evan_lassi,3.0
startrekfan72,10.0
wifeymoof,8.0
tdsearles25,5.0
barrymw,4.0
dakotadickenson-83457,8.0
EyeSeesMovies,10.0
jaysonpajaronvistal,7.0
apereztenessa-1,1.0
spaulagain,2.0
GalAlba,4.0
mogensenf,8.0
ellimic,7.0
politicidal,7.0
MackMonMay87,8.0
JayDeeezy,8.0
rajitecture,7.0
TRIDENT1745,7.0
trapp_33,8.0
danielaustin-735-484497,3.0
tmcmaster031405,6.0
elhonig-902-129896,5.0
sadako11,4.0
dayton-w-price,2.0
milescorn,1.0
Popcorn-And-Twizzlers,8.0
vinifernandes,8.0
amichnea,6.0
babymanperson,7.0
kumar_delish,6.0
ocacia,5.0
teiixeiral,7.0
sktraut,8.0
DANTEfromDMC,6.0
jay632,7.0
gaarauzumaki_992,5.0
raja-mishra7,7.0
said-buet10,6.0
deedee0,2.0
jprice-38253,6.0
11ovz11,10.0
brucecsnow,3.0
thechair,4.0
theffachrif,8.0
rexmatthewj,9.0
nicolasverdessm,4.0
blmulholland-14261,3.0
him090296,
taz1004,1.0
dellamorte-82282,6.0
MoviesWithX,6.0
brianmlucas,4.0
zzzxxxcccvvv-43202,1.0
s_sahar99,1.0
johndavidson-1,6.0
girliefingers,3.0
rotten-potatoes,7.0
Batsy1501,8.0
Kevin-42,
jerry-32590,2.0
ruelshepperd,6.0
raja-mishra7,7.0
said-buet10,6.0
deedee0,2.0
jprice-38253,6.0
11ovz11,10.0
brucecsnow,3.0
thechair,4.0
theffachrif,8.0
rexmatthewj,9.0
nicolasverdessm,4.0
blmulholland-14261,3.0
him090296,
taz1004,1.0
dellamorte-82282,6.0
MoviesWithX,6.0
brianmlucas,4.0
zzzxxxcccvvv-43202,1.0
s_sahar99,1.0
johndavidson-1,6.0
girliefingers,3.0
rotten-potatoes,7.0
Batsy1501,8.0
Kevin-42,
jerry-32590,2.0
ruelshepperd,6.0
mossikukulas-21314,3.0
wtroggin-55558,2.0
stephanie_wal-04572,6.0
innovativengineer,10.0
salramirezjr,7.0
Mars-3038,9.0
Bibliophile100,8.0
pwatm,5.0
