ipc-rating-star--rating,names
8.0,DarthWalker-34381
1.0,mbell-56214
8.0,samtimoney-79758
1.0,hXz0r3
2.0,jmariani-59799
10.0,carlwilkessob
9.0,sujanfaster
9.0,adamsmith-51004
10.0,shumailzafar
9.0,aramsdale
9.0,ta-98251
10.0,brandonrhewitt
7.0,jonsid57
3.0,killercola
1.0,kingcasey_iii
8.0,racoonito
9.0,ksgillihan
10.0,vessalalizadeh
8.0,ashleyfitches
,SureCommaNot
9.0,brandonmckay8
8.0,sme3
8.0,ahmedm0ustafa
10.0,ColinTheGorilla
8.0,Aziz24
8.0,Bigweight66
8.0,Badr90s
5.0,ijameson
10.0,Almost_Soldout
10.0,browniesnack57
6.0,vitalymakievsky
9.0,myblueblazer
10.0,kobemackenzie
8.0,marioprmpi
8.0,garethvk
4.0,randomStuff101
7.0,ghatbkk
3.0,Martipee
10.0,theteamavengers
3.0,matt_hew
6.0,jon_hsieh
9.0,Zi_Reviews_Movies
9.0,El-Ak
